metadata_qid,question,metadata_question,metadata_gold_answer
7320,"{'question': 'when did mount saint helens blow its top', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: May 18, 1980: The Mount St. Helens major eruption of May 18, 1980 remains the deadliest and most economically destructive volcanic event in U.S. history.\nQuestion: when did mount saint helens blow its top\nAre follow up questions needed here: No.\nSo the final answer is: May 18, 1980'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'May 18, 1980'}]], 'traces_entailments': None}",when did mount saint helens blow its top,"['May 18 , 1980']"
4973,"{'question': ""what 's the most expensive building in the world"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: List of most expensive buildings: List of most expensive buildings ; Burj Khalifa · Dubai · United Arab Emirates ; CapitaSpring, Singapore · Singapore ; 8 Shenton Way · Singapore · Singapore\nQuestion: what 's the most expensive building in the world\nAre follow up questions needed here: No.\nSo the final answer is: Burj Khalifa""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Burj Khalifa'}]], 'traces_entailments': None}",what 's the most expensive building in the world,['Abraj Al Bait']
2326,"{'question': ""who starred in guess who 's coming to dinner"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Guess Who's Coming to Dinner: Guess Who's Coming to Dinner is a 1967 American romantic comedy-drama film produced and directed by Stanley Kramer, and written by William Rose. It stars Spencer Tracy (in his final role), Sidney Poitier, and Katharine Hepburn, and features Hepburn's niece Katharine Houghton.\nQuestion: who starred in guess who 's coming to dinner\nAre follow up questions needed here: No.\nSo the final answer is: Spencer Tracy, Sidney Poitier, and Katharine Hepburn""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Spencer Tracy, Sidney Poitier, and Katharine Hepburn'}]], 'traces_entailments': None}",who starred in guess who 's coming to dinner,"['Spencer Tracy', 'Beah Richards', 'Sidney Poitier', 'Roy E. Glenn', 'Katharine Hepburn', 'Katharine Houghton']"
1487,"{'question': 'who plays lois in malcolm in the middle', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Jane Kaczmarek: The ensemble cast includes Jane Kaczmarek and Bryan Cranston as Malcolm's parents, Lois and Hal.\nQuestion: who plays lois in malcolm in the middle\nAre follow up questions needed here: No.\nSo the final answer is: Jane Kaczmarek""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Jane Kaczmarek'}]], 'traces_entailments': None}",who plays lois in malcolm in the middle,['Jane Frances Kaczmarek']
686,"{'question': 'what us the answer to life the universe and everything', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: 42: The number 42 is, in The Hitchhiker\'s Guide to the Galaxy by Douglas Adams, the ""Answer to the Ultimate Question of Life, the Universe, and Everything"", calculated by an enormous supercomputer named Deep Thought over a period of 7.5 million years.\nQuestion: what us the answer to life the universe and everything\nAre follow up questions needed here: No.\nSo the final answer is: 42'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '42'}]], 'traces_entailments': None}",what us the answer to life the universe and everything,['The number 42']
6494,"{'question': 'when was the new world trade center completed', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: One World Trade Center: One World Trade Center, also known as One World Trade, One WTC, and formerly called the Freedom Tower during initial planning stages, is the main building\nQuestion: when was the new world trade center completed\nAre follow up questions needed here: No.\nSo the final answer is: 2014'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '2014'}]], 'traces_entailments': None}",when was the new world trade center completed,"['November 3 , 2014']"
7425,"{'question': 'when was the last time nevada was in the sweet 16', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Nevada Wolf Pack men's basketball: The Nevada Wolf Pack men's basketball program is a college basketball team that represents the University of Nevada, Reno.  All-Time D-1 Record: 954–742 (.562%) as of June 13, 2019\nQuestion: when was the last time nevada was in the sweet 16\nAre follow up questions needed here: No.\nSo the final answer is: 1990""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1990'}]], 'traces_entailments': None}",when was the last time nevada was in the sweet 16,['2018']
2583,"{'question': 'the originals season 5 episode 10 air date', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Ratings: [[\'No.\', \'Title\', \'Air date\'], [\'10\', \'""There in the Disappearing Light""\', \'July 11, 2018\'], [\'11\', \'""\\\'Til the Day I Die""\', \'July 18, 2018\'], [\'12\', \'""The Tale of Two Wolves""\', \'July 25, 2018\'], [\'13\', \'""When the Saints Go Marching In""\', \'August 1, 2018\']]\nQuestion: the originals season 5 episode 10 air date\nAre follow up questions needed here: No.\nSo the final answer is: July 11, 2018'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'July 11, 2018'}]], 'traces_entailments': None}",the originals season 5 episode 10 air date,"['July 11 , 2018']"
245,"{'question': 'who prayed for saul to regain his sight', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Ananias of Damascus: Ananias (/ˌænəˈnaɪəs/ AN-ə-NY-əs; Ancient Greek: Ἀνανίας from Hebrew חנניה, Hananiah, ""favoured of the LORD"") was a disciple of Jesus at Damascus mentioned in the Acts of the Apostles in the Bible, which describes how he was sent by Jesus to restore the sight of Saul of Tarsus (who later was called Paul the Apostle)\nQuestion: who prayed for saul to regain his sight\nAre follow up questions needed here: No.\nSo the final answer is: Ananias'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Ananias'}]], 'traces_entailments': None}",who prayed for saul to regain his sight,['Ananias']
8661,"{'question': 'where was tears dry on their own filmed', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Tears Dry on Their Own: Tears Dry on Their Own's music video was shot in Los Angeles, and directed by David LaChapelle on 22 May 2007. Featuring Winehouse making her way down Hollywood Blvd and in a dim motel room, the video features the Grand Motel at 1479 S La Cienega Blvd, in Los Angeles.\nQuestion: where was tears dry on their own filmed\nAre follow up questions needed here: No.\nSo the final answer is: Los Angeles""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Los Angeles'}]], 'traces_entailments': None}",where was tears dry on their own filmed,['Los Angeles']
1036,"{'question': 'where did techno music originated in the 1980s', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Techno: Use of the term ""techno"" to refer to a type of electronic music originated in Germany in the early 1980s. In 1988, following the UK release of the compilation Techno! The New Dance Sound of Detroit, the term came to be associated with a form of EDM produced in Detroit.\nQuestion: where did techno music originated in the 1980s\nAre follow up questions needed here: No.\nSo the final answer is: Germany'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Germany'}]], 'traces_entailments': None}",where did techno music originated in the 1980s,"['Detroit , Michigan']"
977,"{'question': 'when was the reserve bank of australia established', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Reserve Bank of Australia: The Reserve Bank of Australia (RBA) is Australia's central bank and banknote issuing authority. It has had this role since 14 January 1960, when the Reserve Bank Act 1959 removed the central banking functions from the Commonwealth Bank.\nQuestion: when was the reserve bank of australia established\nAre follow up questions needed here: No.\nSo the final answer is: 14 January 1960""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '14 January 1960'}]], 'traces_entailments': None}",when was the reserve bank of australia established,['14 January 1960']
584,"{'question': 'movie about a guy with a messed up face', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: The Man Without a Face: The Man Without a Face is a 1993 American drama film starring and directed by Mel Gibson, in his directorial debut. The film is based on Isabelle Holland's\nQuestion: movie about a guy with a messed up face\nAre follow up questions needed here: No.\nSo the final answer is: The Man Without a Face""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'The Man Without a Face'}]], 'traces_entailments': None}",movie about a guy with a messed up face,['Mask']
3119,"{'question': 'who lit the torch at the 2012 olympics', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: List of torchbearers who have lit the Olympic cauldron: [{'games': '1936 Summer', 'location': 'Berlin', 'lighter': 'Fritz Schilgen', 'sport': 'Track and field'}, {'games': '1948 Summer', 'location': 'London', 'lighter': 'John Mark', 'sport': 'Track and field'}, {'games': '1952 Winter', 'location': 'Oslo', 'lighter': 'Eigil Nansen', 'sport': 'Non‑athlete'}]\nQuestion: who lit the torch at the 2012 olympics\nAre follow up questions needed here: No.\nSo the final answer is: John Mark""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'John Mark'}]], 'traces_entailments': None}",who lit the torch at the 2012 olympics,"['Jordan Duckitt', 'Adelle Tracey', 'Cameron MacRitchie', 'Desiree Henry', 'Callum Airlie', 'Aidan Reynolds', 'Katie Kirk']"
3966,"{'question': 'who played zorro son in the legend of zorro', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Adrián Alonso: Adrián Alonso Barona (born April 6, 1994) is a Mexican actor. As a child actor, he was best known for the movie The Legend of Zorro.\nQuestion: who played zorro son in the legend of zorro\nAre follow up questions needed here: No.\nSo the final answer is: Adrián Alonso'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Adrián Alonso'}]], 'traces_entailments': None}",who played zorro son in the legend of zorro,['Adrián Alonso']
492,"{'question': 'who scored the first penalty in the world cup 2018', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: 2018 FIFA World Cup: On 15 June 2018, Diego Costa's first goal against Portugal became the first World Cup goal based on a VAR decision; the first penalty as a result of a VAR\nQuestion: who scored the first penalty in the world cup 2018\nAre follow up questions needed here: No.\nSo the final answer is: Diego Costa""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Diego Costa'}]], 'traces_entailments': None}",who scored the first penalty in the world cup 2018,['Russia']
7605,"{'question': 'who sings long cool woman in a black dress', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: The Hollies: ""Long Cool Woman in a Black Dress"" (also titled Long Cool Woman or Long Cool Woman (in a Black Dress)). It is a song by British band The Hollies. It is from their 11th studio album Distant Light.\nQuestion: who sings long cool woman in a black dress\nAre follow up questions needed here: No.\nSo the final answer is: The Hollies'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'The Hollies'}]], 'traces_entailments': None}",who sings long cool woman in a black dress,['The Hollies']
5348,"{'question': 'when did the baltimore bullets move to washington', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: 1973: In 1973, the team moved to the Washington metropolitan area and changed its name first to the Capital Bullets, then the following season to Washington Bullets.\nQuestion: when did the baltimore bullets move to washington\nAre follow up questions needed here: No.\nSo the final answer is: 1973'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1973'}]], 'traces_entailments': None}",when did the baltimore bullets move to washington,['1973']
7221,"{'question': 'when was the constitution of united states written', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Constitution of the United States: The drafting of the Constitution, often referred to as its framing, was completed at the Constitutional Convention, which assembled at Independence Hall in Philadelphia between May 25 and September 17, 1787.\nQuestion: when was the constitution of united states written\nAre follow up questions needed here: No.\nSo the final answer is: 1787'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1787'}]], 'traces_entailments': None}",when was the constitution of united states written,"['September 17 , 1787']"
3203,"{'question': 'who determines the size of the supreme court', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Congress: Size of the court The power to define the Supreme Court's size and membership has been assumed to belong to Congress, which initially established a six-member Supreme Court composed of a chief justice and five associate justices through the Judiciary Act of 1789.\nQuestion: who determines the size of the supreme court\nAre follow up questions needed here: No.\nSo the final answer is: congress""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'congress'}]], 'traces_entailments': None}",who determines the size of the supreme court,['Congress']
8509,"{'question': 'who does the voice of the beast in beauty and the beast 2017', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Beast (Beauty and the Beast): [['Beast'], ['Voiced by', 'Robby Benson (1991 film and related project) Dan Stevens (2017 live action film; voice and motion capture)'], ['Title', 'Master of the Castle'], ['Occupation', 'Prince'], ['Significant other', 'Belle']]\nQuestion: who does the voice of the beast in beauty and the beast 2017\nAre follow up questions needed here: No.\nSo the final answer is: Dan Stevens""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Dan Stevens'}]], 'traces_entailments': None}",who does the voice of the beast in beauty and the beast 2017,['Dan Stevens']
3831,"{'question': 'who played violet in saved by the bell', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Saved by the Bell (TV Series 1989–1992) - Tori Spelling as : Tori Spelling: Violet Bickerstaff.\nQuestion: who played violet in saved by the bell\nAre follow up questions needed here: No.\nSo the final answer is: Tori Spelling'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Tori Spelling'}]], 'traces_entailments': None}",who played violet in saved by the bell,['Tori Spelling']
4822,"{'question': 'who led the revolution in bihar in 1857 ce', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Indian Rebellion of 1857: The Indian Rebellion of 1857 was a major uprising in India in 1857–58 against the rule of the British East India Company, which functioned as a sovereign\nQuestion: who led the revolution in bihar in 1857 ce\nAre follow up questions needed here: No.\nSo the final answer is: Kunwar Singh'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Kunwar Singh'}]], 'traces_entailments': None}",who led the revolution in bihar in 1857 ce,['Kunwar Singh']
8192,"{'question': 'what document led to the formation of a bicameral legislature', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Bicameralism: Bicameralism is a type of legislature that is divided into two separate assemblies, chambers, or houses, known as a bicameral legislature.\nQuestion: what document led to the formation of a bicameral legislature\nAre follow up questions needed here: No.\nSo the final answer is: the constitution'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'the constitution'}]], 'traces_entailments': None}",what document led to the formation of a bicameral legislature,['The Virginia Plan']
75,"{'question': 'where are the fruits of the spirit found in the bible', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Category:Fruit of the Holy Spirit: The Fruit of the Holy Spirit is a biblical term that sums up nine attributes of a person or community living in accord with the Holy Spirit, according to chapter 5 of the Epistle to the Galatians: ""But the fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, and self-control.\nQuestion: where are the fruits of the spirit found in the bible\nAre follow up questions needed here: No.\nSo the final answer is: Galatians 5:22-23'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Galatians 5:22-23'}]], 'traces_entailments': None}",where are the fruits of the spirit found in the bible,['Epistle to the Galatians']
1394,"{'question': 'where will the fifa world cup be held in 2018', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: 2018 FIFA World Cup: The 2018 FIFA World Cup was the 21st FIFA World Cup, the quadrennial world championship for national football teams organized by FIFA. It took place in Russia from 14 June to 15 July 2018, after the country was awarded the hosting rights in 2010.\nQuestion: where will the fifa world cup be held in 2018\nAre follow up questions needed here: No.\nSo the final answer is: Russia'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Russia'}]], 'traces_entailments': None}",where will the fifa world cup be held in 2018,['Russia']
7496,"{'question': 'who sang this will be an everlasting love', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: This Will Be: ""This Will Be"" is a song written by Chuck Jackson and Marvin Yancy, arranged by Richard Evans and performed by American singer Natalie Cole.\nQuestion: who sang this will be an everlasting love\nAre follow up questions needed here: No.\nSo the final answer is: Natalie Cole'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Natalie Cole'}]], 'traces_entailments': None}",who sang this will be an everlasting love,['Natalie Cole']
4560,"{'question': 'who was the first explorer sailing under the flag of england to reach the new world', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: John Cabot: This was probably the voyage under Cabot's patent, making William Weston the first Englishman to lead an expedition to North America.\nQuestion: who was the first explorer sailing under the flag of england to reach the new world\nAre follow up questions needed here: No.\nSo the final answer is: John Cabot""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'John Cabot'}]], 'traces_entailments': None}",who was the first explorer sailing under the flag of england to reach the new world,['John Cabot']
6668,"{'question': 'when was the republic of south africa established', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: History of South Africa: The country became a fully sovereign nation state within the British Empire, in 1934 following enactment of the Status of the Union Act. The monarchy came to an end on 31 May 1961, replaced by a republic as the consequence of a 1960 referendum, which legitimised the country becoming the Republic of South Africa.\nQuestion: when was the republic of south africa established\nAre follow up questions needed here: No.\nSo the final answer is: 31 May 1961'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '31 May 1961'}]], 'traces_entailments': None}",when was the republic of south africa established,['31 May 1961']
1365,"{'question': 'where is pepsin found in the digestive system', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: stomach lining: Pepsin /ˈpɛpsɪn/ is an endopeptidase that breaks down proteins into smaller peptides. It is produced in the gastric chief cells of the stomach lining and is one of the main digestive enzymes in the digestive systems of humans and many other animals, where it helps digest the proteins in food.\nQuestion: where is pepsin found in the digestive system\nAre follow up questions needed here: No.\nSo the final answer is: stomach lining'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'stomach lining'}]], 'traces_entailments': None}",where is pepsin found in the digestive system,['in the stomach']
4164,"{'question': ""who plays fez 's friend from back home"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Andrew | That '70s Wiki - Fandom: Andrew Davis is Fez's friend back from his home country. He has a very different accent than Fez, and a different skin tone, which the two of them explain\nQuestion: who plays fez 's friend from back home\nAre follow up questions needed here: No.\nSo the final answer is: Andrew Davis""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Andrew Davis'}]], 'traces_entailments': None}",who plays fez 's friend from back home,['Justin Long']
